127.0.0.1, 2021-01-20 15:35:27, GET, /, HTTP/1.1, 303, 0.006000
127.0.0.1, 2021-01-20 15:35:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.701000
127.0.0.1, 2021-01-20 15:35:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-01-20 15:35:30, GET, /admin/default/index, HTTP/1.1, 200, 0.550000
127.0.0.1, 2021-01-20 15:35:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-20 15:35:34, POST, /admin/default/index, HTTP/1.1, 303, 0.032000
127.0.0.1, 2021-01-20 15:35:34, GET, /admin/default/site, HTTP/1.1, 200, 0.067000
127.0.0.1, 2021-01-20 15:35:35, POST, /admin/default/check_version, HTTP/1.1, 200, 1.060000
127.0.0.1, 2021-01-20 15:35:37, GET, /places/default/index, HTTP/1.1, 404, 0.007000
127.0.0.1, 2021-01-20 15:35:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-20 15:36:58, GET, /places, HTTP/1.1, 500, 0.116000
127.0.0.1, 2021-01-20 15:36:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-20 15:37:00, GET, /admin/default/ticket/unknown, HTTP/1.1, 303, 0.033000
127.0.0.1, 2021-01-20 15:37:00, GET, /admin/default/site, HTTP/1.1, 200, 0.034000
127.0.0.1, 2021-01-20 15:37:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-20 15:37:06, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2021-01-20 15:37:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.140000
127.0.0.1, 2021-01-20 15:37:07, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-01-20 15:37:08, GET, /admin/default/index, HTTP/1.1, 303, 0.045000
127.0.0.1, 2021-01-20 15:37:08, GET, /admin/default/site, HTTP/1.1, 200, 0.043000
127.0.0.1, 2021-01-20 15:37:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-20 15:37:10, GET, /places/default/index, HTTP/1.1, 500, 0.058000
127.0.0.1, 2021-01-20 15:37:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-20 15:37:12, GET, /admin/default/ticket/unknown, HTTP/1.1, 303, 0.032000
127.0.0.1, 2021-01-20 15:37:13, GET, /admin/default/site, HTTP/1.1, 200, 0.044000
127.0.0.1, 2021-01-20 15:37:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-20 15:37:34, GET, /places/views/default, HTTP/1.1, 500, 0.026000
127.0.0.1, 2021-01-20 15:37:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-20 15:38:00, GET, /places/views/default, HTTP/1.1, 500, 0.027000
127.0.0.1, 2021-01-20 15:38:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-20 15:38:01, GET, /admin/default/ticket/unknown, HTTP/1.1, 303, 0.019000
